,Unnamed: 0,Map Name,Matchup,patch,Wins,Losses,Games,win_perc,loss_perc,pillar_label
0,12,Abyssal Reef LE,PvT,3.11,1070,1162,2232,0.4794,0.5206,No pillar
1,19,Abyssal Reef LE,PvZ,3.11,1260,1340,2600,0.4846,0.5154,No pillar
2,26,Abyssal Reef LE,TvZ,3.11,1656,1916,3572,0.4636,0.5364,No pillar
3,87,Bel'Shir Vestige LE (Void),PvT,3.11,1276,1243,2519,0.5066,0.4934,Pillar can see natural entrance
4,90,Bel'Shir Vestige LE (Void),PvZ,3.11,1285,1407,2692,0.4773,0.5227,Pillar can see natural entrance
5,93,Bel'Shir Vestige LE (Void),TvZ,3.11,1949,2099,4048,0.4815,0.5185,Pillar can see natural entrance
6,120,Cactus Valley LE (Void),PvT,3.11,923,874,1797,0.5136,0.4864,Pillar can see natural entrance
7,123,Cactus Valley LE (Void),PvZ,3.11,1001,1105,2106,0.4753,0.5247,Pillar can see natural entrance
8,126,Cactus Valley LE (Void),TvZ,3.11,1246,1534,2780,0.4482,0.5518,Pillar can see natural entrance
9,228,Honorgrounds LE,PvT,3.11,672,700,1372,0.4898,0.5102,Pillar can see natural entrance
10,231,Honorgrounds LE,PvZ,3.11,756,734,1490,0.5074,0.4926,Pillar can see natural entrance
11,234,Honorgrounds LE,TvZ,3.11,1003,985,1988,0.5045,0.4955,Pillar can see natural entrance
12,300,Newkirk Precinct TE (Void),PvT,3.11,1377,1308,2685,0.5128,0.4872,Pillar cannot see natural entrance
13,303,Newkirk Precinct TE (Void),PvZ,3.11,1389,1452,2841,0.4889,0.5111,Pillar cannot see natural entrance
14,306,Newkirk Precinct TE (Void),TvZ,3.11,2057,2019,4076,0.5047,0.4953,Pillar cannot see natural entrance
15,336,Paladino Terminal LE,PvT,3.11,834,845,1679,0.4967,0.5033,Pillar can see natural entrance
16,339,Paladino Terminal LE,PvZ,3.11,712,972,1684,0.4228,0.5772,Pillar can see natural entrance
17,342,Paladino Terminal LE,TvZ,3.11,1285,1501,2786,0.4612,0.5388,Pillar can see natural entrance
18,360,Proxima Station LE,PvT,3.11,1090,1079,2169,0.5025,0.4975,Pillar can see natural entrance
19,364,Proxima Station LE,PvZ,3.11,1070,1013,2083,0.5137,0.4863,Pillar can see natural entrance
20,368,Proxima Station LE,TvZ,3.11,1505,1403,2908,0.5175,0.4825,Pillar can see natural entrance
21,13,Abyssal Reef LE,PvT,3.12,2602,2651,5253,0.4953,0.5047,No pillar
22,20,Abyssal Reef LE,PvZ,3.12,2746,2931,5677,0.4837,0.5163,No pillar
23,27,Abyssal Reef LE,TvZ,3.12,3559,3901,7460,0.4771,0.5229,No pillar
24,51,Ascension to Aiur LE,PvT,3.12,1431,1260,2691,0.5318,0.4682,Pillar cannot see natural entrance
25,56,Ascension to Aiur LE,PvZ,3.12,1352,1427,2779,0.4865,0.5135,Pillar cannot see natural entrance
26,61,Ascension to Aiur LE,TvZ,3.12,1600,1827,3427,0.4669,0.5331,Pillar cannot see natural entrance
27,88,Bel'Shir Vestige LE (Void),PvT,3.12,2050,1951,4001,0.5124,0.4876,Pillar can see natural entrance
28,91,Bel'Shir Vestige LE (Void),PvZ,3.12,1816,1874,3690,0.4921,0.5079,Pillar can see natural entrance
29,94,Bel'Shir Vestige LE (Void),TvZ,3.12,2592,2692,5284,0.4905,0.5095,Pillar can see natural entrance
30,111,Blood Boil LE,PvT,3.12,671,732,1403,0.4783,0.5217,Pillar can see natural entrance
31,113,Blood Boil LE,PvZ,3.12,718,797,1515,0.4739,0.5261,Pillar can see natural entrance
32,115,Blood Boil LE,TvZ,3.12,1050,928,1978,0.5308,0.4692,Pillar can see natural entrance
33,121,Cactus Valley LE (Void),PvT,3.12,1301,1218,2519,0.5165,0.4835,Pillar can see natural entrance
34,124,Cactus Valley LE (Void),PvZ,3.12,1356,1457,2813,0.482,0.518,Pillar can see natural entrance
35,127,Cactus Valley LE (Void),TvZ,3.12,1688,1979,3667,0.4603,0.5397,Pillar can see natural entrance
36,171,Defender's Landing LE,PvT,3.12,765,747,1512,0.506,0.494,Pillar can see natural entrance
37,173,Defender's Landing LE,PvZ,3.12,650,895,1545,0.4207,0.5793,Pillar can see natural entrance
38,175,Defender's Landing LE,TvZ,3.12,1239,1471,2710,0.4572,0.5428,Pillar can see natural entrance
39,229,Honorgrounds LE,PvT,3.12,913,986,1899,0.4808,0.5192,Pillar can see natural entrance
40,232,Honorgrounds LE,PvZ,3.12,881,1001,1882,0.4681,0.5319,Pillar can see natural entrance
41,235,Honorgrounds LE,TvZ,3.12,1173,1210,2383,0.4922,0.5078,Pillar can see natural entrance
42,301,Newkirk Precinct TE (Void),PvT,3.12,2045,1998,4043,0.5058,0.4942,Pillar cannot see natural entrance
43,304,Newkirk Precinct TE (Void),PvZ,3.12,1890,1858,3748,0.5043,0.4957,Pillar cannot see natural entrance
44,307,Newkirk Precinct TE (Void),TvZ,3.12,2792,2750,5542,0.5038,0.4962,Pillar cannot see natural entrance
45,315,Odyssey LE,PvT,3.12,1263,1260,2523,0.5006,0.4994,Pillar can see natural entrance
46,320,Odyssey LE,PvZ,3.12,1334,1312,2646,0.5042,0.4958,Pillar can see natural entrance
47,325,Odyssey LE,TvZ,3.12,1609,1946,3555,0.4526,0.5474,Pillar can see natural entrance
48,337,Paladino Terminal LE,PvT,3.12,997,1053,2050,0.4863,0.5137,Pillar can see natural entrance
49,340,Paladino Terminal LE,PvZ,3.12,915,1154,2069,0.4422,0.5578,Pillar can see natural entrance
50,343,Paladino Terminal LE,TvZ,3.12,1589,1773,3362,0.4726,0.5274,Pillar can see natural entrance
51,361,Proxima Station LE,PvT,3.12,2460,2503,4963,0.4957,0.5043,Pillar can see natural entrance
52,365,Proxima Station LE,PvZ,3.12,2302,2082,4384,0.5251,0.4749,Pillar can see natural entrance
53,369,Proxima Station LE,TvZ,3.12,3203,2718,5921,0.541,0.459,Pillar can see natural entrance
54,381,Sequencer LE,PvT,3.12,834,749,1583,0.5268,0.4732,Pillar can see natural entrance
55,383,Sequencer LE,PvZ,3.12,855,896,1751,0.4883,0.5117,Pillar can see natural entrance
56,385,Sequencer LE,TvZ,3.12,999,1085,2084,0.4794,0.5206,Pillar can see natural entrance
57,14,Abyssal Reef LE,PvT,3.14,7564,7756,15320,0.4937,0.5063,No pillar
58,21,Abyssal Reef LE,PvZ,3.14,7936,7655,15591,0.509,0.491,No pillar
59,28,Abyssal Reef LE,TvZ,3.14,10882,11143,22025,0.4941,0.5059,No pillar
60,42,Acolyte LE,PvT,3.14,4756,4747,9503,0.5005,0.4995,Pillar can see natural entrance
61,43,Acolyte LE,PvZ,3.14,4976,4265,9241,0.5385,0.4615,Pillar can see natural entrance
62,44,Acolyte LE,TvZ,3.14,6361,5466,11827,0.5378,0.4622,Pillar can see natural entrance
63,52,Ascension to Aiur LE,PvT,3.14,9463,8666,18129,0.522,0.478,Pillar cannot see natural entrance
64,57,Ascension to Aiur LE,PvZ,3.14,9702,9990,19692,0.4927,0.5073,Pillar cannot see natural entrance
65,62,Ascension to Aiur LE,TvZ,3.14,11601,13792,25393,0.4569,0.5431,Pillar cannot see natural entrance
66,112,Blood Boil LE,PvT,3.14,1233,1284,2517,0.4899,0.5101,Pillar can see natural entrance
67,114,Blood Boil LE,PvZ,3.14,1281,1162,2443,0.5244,0.4756,Pillar can see natural entrance
68,116,Blood Boil LE,TvZ,3.14,2130,1824,3954,0.5387,0.4613,Pillar can see natural entrance
69,129,Catallena LE (Void),PvT,3.14,2656,2965,5621,0.4725,0.5275,Pillar can see natural entrance
70,130,Catallena LE (Void),PvZ,3.14,2612,2827,5439,0.4802,0.5198,Pillar can see natural entrance
71,131,Catallena LE (Void),TvZ,3.14,4360,4072,8432,0.5171,0.4829,Pillar can see natural entrance
72,172,Defender's Landing LE,PvT,3.14,1432,1497,2929,0.4889,0.5111,Pillar can see natural entrance
73,174,Defender's Landing LE,PvZ,3.14,1331,1643,2974,0.4475,0.5525,Pillar can see natural entrance
74,176,Defender's Landing LE,TvZ,3.14,2589,2982,5571,0.4647,0.5353,Pillar can see natural entrance
75,243,Interloper LE,PvT,3.14,5431,5257,10688,0.5081,0.4919,Pillar can see natural entrance
76,244,Interloper LE,PvZ,3.14,5055,4925,9980,0.5065,0.4935,Pillar can see natural entrance
77,245,Interloper LE,TvZ,3.14,6843,6953,13796,0.496,0.504,Pillar can see natural entrance
78,273,Mech Depot LE,PvT,3.14,4747,4345,9092,0.5221,0.4779,No pillar
79,274,Mech Depot LE,PvZ,3.14,4967,5148,10115,0.4911,0.5089,No pillar
80,275,Mech Depot LE,TvZ,3.14,6448,7084,13532,0.4765,0.5235,No pillar
81,316,Odyssey LE,PvT,3.14,9029,8374,17403,0.5188,0.4812,Pillar can see natural entrance
82,321,Odyssey LE,PvZ,3.14,9541,9623,19164,0.4979,0.5021,Pillar can see natural entrance
83,326,Odyssey LE,TvZ,3.14,11551,13025,24576,0.47,0.53,Pillar can see natural entrance
84,362,Proxima Station LE,PvT,3.14,2328,2320,4648,0.5009,0.4991,Pillar can see natural entrance
85,366,Proxima Station LE,PvZ,3.14,2198,1945,4143,0.5305,0.4695,Pillar can see natural entrance
86,370,Proxima Station LE,TvZ,3.14,2900,2451,5351,0.542,0.458,Pillar can see natural entrance
87,382,Sequencer LE,PvT,3.14,1682,1681,3363,0.5001,0.4999,Pillar can see natural entrance
88,384,Sequencer LE,PvZ,3.14,1872,1861,3733,0.5015,0.4985,Pillar can see natural entrance
