,Map Name,Matchup,patch,patch_date,Wins,Losses,Games,win_perc,loss_perc,pillar_label,race_a,race_b,pillar
0,Abyssal Reef LE,PvT,3.11,3-7-2017,1070,1162,2232,0.4794,0.5206,No pillar,Protoss,Terran,0
1,Abyssal Reef LE,PvZ,3.11,3-7-2017,1260,1340,2600,0.4846,0.5154,No pillar,Protoss,Zerg,0
2,Abyssal Reef LE,TvZ,3.11,3-7-2017,1656,1916,3572,0.4636,0.5364,No pillar,Terran,Zerg,0
3,Bel'Shir Vestige LE (Void),PvT,3.11,3-7-2017,1276,1243,2519,0.5066,0.4934,Pillar can see natural entrance,Protoss,Terran,1
4,Bel'Shir Vestige LE (Void),PvZ,3.11,3-7-2017,1285,1407,2692,0.4773,0.5227,Pillar can see natural entrance,Protoss,Zerg,1
5,Bel'Shir Vestige LE (Void),TvZ,3.11,3-7-2017,1949,2099,4048,0.4815,0.5185,Pillar can see natural entrance,Terran,Zerg,1
6,Cactus Valley LE (Void),PvT,3.11,3-7-2017,923,874,1797,0.5136,0.4864,Pillar can see natural entrance,Protoss,Terran,1
7,Cactus Valley LE (Void),PvZ,3.11,3-7-2017,1001,1105,2106,0.4753,0.5247,Pillar can see natural entrance,Protoss,Zerg,1
8,Cactus Valley LE (Void),TvZ,3.11,3-7-2017,1246,1534,2780,0.4482,0.5518,Pillar can see natural entrance,Terran,Zerg,1
9,Honorgrounds LE,PvT,3.11,3-7-2017,672,700,1372,0.4898,0.5102,No pillar,Protoss,Terran,0
10,Honorgrounds LE,PvZ,3.11,3-7-2017,756,734,1490,0.5074,0.4926,No pillar,Protoss,Zerg,0
11,Honorgrounds LE,TvZ,3.11,3-7-2017,1003,985,1988,0.5045,0.4955,No pillar,Terran,Zerg,0
12,Newkirk Precinct TE (Void),PvT,3.11,3-7-2017,1377,1308,2685,0.5128,0.4872,No pillar,Protoss,Terran,0
13,Newkirk Precinct TE (Void),PvZ,3.11,3-7-2017,1389,1452,2841,0.4889,0.5111,No pillar,Protoss,Zerg,0
14,Newkirk Precinct TE (Void),TvZ,3.11,3-7-2017,2057,2019,4076,0.5047,0.4953,No pillar,Terran,Zerg,0
15,Paladino Terminal LE,PvT,3.11,3-7-2017,834,845,1679,0.4967,0.5033,Pillar can see natural entrance,Protoss,Terran,1
16,Paladino Terminal LE,PvZ,3.11,3-7-2017,712,972,1684,0.4228,0.5772,Pillar can see natural entrance,Protoss,Zerg,1
17,Paladino Terminal LE,TvZ,3.11,3-7-2017,1285,1501,2786,0.4612,0.5388,Pillar can see natural entrance,Terran,Zerg,1
18,Proxima Station LE,PvT,3.11,3-7-2017,1090,1079,2169,0.5025,0.4975,Pillar can see natural entrance,Protoss,Terran,1
19,Proxima Station LE,PvZ,3.11,3-7-2017,1070,1013,2083,0.5137,0.4863,Pillar can see natural entrance,Protoss,Zerg,1
20,Proxima Station LE,TvZ,3.11,3-7-2017,1505,1403,2908,0.5175,0.4825,Pillar can see natural entrance,Terran,Zerg,1
21,Abyssal Reef LE,PvT,3.12,4-19-2017,10166,10407,20573,0.4941,0.5059,No pillar,Protoss,Terran,0
22,Abyssal Reef LE,PvZ,3.12,4-19-2017,10682,10586,21268,0.5023,0.4977,No pillar,Protoss,Zerg,0
23,Abyssal Reef LE,TvZ,3.12,4-19-2017,14441,15044,29485,0.4898,0.5102,No pillar,Terran,Zerg,0
24,Acolyte LE,PvT,3.12,4-19-2017,4756,4747,9503,0.5005,0.4995,Pillar can see natural entrance,Protoss,Terran,1
25,Acolyte LE,PvZ,3.12,4-19-2017,4976,4265,9241,0.5385,0.4615,Pillar can see natural entrance,Protoss,Zerg,1
26,Acolyte LE,TvZ,3.12,4-19-2017,6361,5466,11827,0.5378,0.4622,Pillar can see natural entrance,Terran,Zerg,1
27,Ascension to Aiur LE,PvT,3.12,4-19-2017,10894,9926,20820,0.5232,0.4768,Pillar can see natural entrance,Protoss,Terran,1
28,Ascension to Aiur LE,PvZ,3.12,4-19-2017,11054,11417,22471,0.4919,0.5081,Pillar can see natural entrance,Protoss,Zerg,1
29,Ascension to Aiur LE,TvZ,3.12,4-19-2017,13201,15619,28820,0.458,0.542,Pillar can see natural entrance,Terran,Zerg,1
30,Bel'Shir Vestige LE (Void),PvT,3.12,4-19-2017,2050,1951,4001,0.5124,0.4876,Pillar can see natural entrance,Protoss,Terran,1
31,Bel'Shir Vestige LE (Void),PvZ,3.12,4-19-2017,1816,1874,3690,0.4921,0.5079,Pillar can see natural entrance,Protoss,Zerg,1
32,Bel'Shir Vestige LE (Void),TvZ,3.12,4-19-2017,2592,2692,5284,0.4905,0.5095,Pillar can see natural entrance,Terran,Zerg,1
33,Blood Boil LE,PvT,3.12,4-19-2017,1904,2016,3920,0.4857,0.5143,No pillar,Protoss,Terran,0
34,Blood Boil LE,PvZ,3.12,4-19-2017,1999,1959,3958,0.5051,0.4949,No pillar,Protoss,Zerg,0
35,Blood Boil LE,TvZ,3.12,4-19-2017,3180,2752,5932,0.5361,0.4639,No pillar,Terran,Zerg,0
36,Cactus Valley LE (Void),PvT,3.12,4-19-2017,1301,1218,2519,0.5165,0.4835,Pillar can see natural entrance,Protoss,Terran,1
37,Cactus Valley LE (Void),PvZ,3.12,4-19-2017,1356,1457,2813,0.482,0.518,Pillar can see natural entrance,Protoss,Zerg,1
38,Cactus Valley LE (Void),TvZ,3.12,4-19-2017,1688,1979,3667,0.4603,0.5397,Pillar can see natural entrance,Terran,Zerg,1
39,Catallena LE (Void),PvT,3.12,4-19-2017,2656,2965,5621,0.4725,0.5275,Pillar can see natural entrance,Protoss,Terran,1
40,Catallena LE (Void),PvZ,3.12,4-19-2017,2612,2827,5439,0.4802,0.5198,Pillar can see natural entrance,Protoss,Zerg,1
41,Catallena LE (Void),TvZ,3.12,4-19-2017,4360,4072,8432,0.5171,0.4829,Pillar can see natural entrance,Terran,Zerg,1
42,Defender's Landing LE,PvT,3.12,4-19-2017,2197,2244,4441,0.4947,0.5053,Pillar can see natural entrance,Protoss,Terran,1
43,Defender's Landing LE,PvZ,3.12,4-19-2017,1981,2538,4519,0.4384,0.5616,Pillar can see natural entrance,Protoss,Zerg,1
44,Defender's Landing LE,TvZ,3.12,4-19-2017,3828,4453,8281,0.4623,0.5377,Pillar can see natural entrance,Terran,Zerg,1
45,Honorgrounds LE,PvT,3.12,4-19-2017,913,986,1899,0.4808,0.5192,No pillar,Protoss,Terran,0
46,Honorgrounds LE,PvZ,3.12,4-19-2017,881,1001,1882,0.4681,0.5319,No pillar,Protoss,Zerg,0
47,Honorgrounds LE,TvZ,3.12,4-19-2017,1173,1210,2383,0.4922,0.5078,No pillar,Terran,Zerg,0
48,Interloper LE,PvT,3.12,4-19-2017,5431,5257,10688,0.5081,0.4919,Pillar can see natural entrance,Protoss,Terran,1
49,Interloper LE,PvZ,3.12,4-19-2017,5055,4925,9980,0.5065,0.4935,Pillar can see natural entrance,Protoss,Zerg,1
50,Interloper LE,TvZ,3.12,4-19-2017,6843,6953,13796,0.496,0.504,Pillar can see natural entrance,Terran,Zerg,1
51,Mech Depot LE,PvT,3.12,4-19-2017,4747,4345,9092,0.5221,0.4779,No pillar,Protoss,Terran,0
52,Mech Depot LE,PvZ,3.12,4-19-2017,4967,5148,10115,0.4911,0.5089,No pillar,Protoss,Zerg,0
