,patch,matchup,wins,losses,win_rate,loss_rate,games
0,3.11,PvT,7242,7211,0.501,0.499,14453
1,3.11,PvZ,7473,8023,0.482,0.518,15496
3,3.12,PvT,17332,17108,0.503,0.497,34440
4,3.12,PvZ,16815,17684,0.487,0.513,34499
6,3.14,PvT,50321,48892,0.507,0.493,99213
7,3.14,PvZ,51471,51044,0.502,0.498,102515
9,3.8,PvT,20064,20330,0.497,0.503,40394
10,3.8,PvZ,19577,20015,0.494,0.506,39592
12,4.0,PvT,15942,12770,0.555,0.44499999999999995,28712
13,4.0,PvZ,13336,15858,0.457,0.5429999999999999,29194
15,4.1.1,PvT,31744,26720,0.543,0.45699999999999996,58464
16,4.1.1,PvZ,27739,31830,0.466,0.534,59569
18,4.1.4,PvT,17475,15783,0.525,0.475,33258
19,4.1.4,PvZ,16871,19130,0.469,0.531,36001
21,4.10.1,PvT,133789,115615,0.536,0.46399999999999997,249404
22,4.10.1,PvZ,115612,125234,0.48,0.52,240846
24,4.11.4,PvT,178392,152576,0.539,0.46099999999999997,330968
25,4.11.4,PvZ,156008,170730,0.477,0.523,326738
27,4.2.1,PvT,36793,32974,0.527,0.473,69767
28,4.2.1,PvZ,36622,39198,0.483,0.517,75820
30,4.3,PvT,186907,165623,0.53,0.47,352530
31,4.3,PvZ,176629,184038,0.49,0.51,360667
33,4.8.3,PvT,122025,105392,0.537,0.46299999999999997,227417
34,4.8.3,PvZ,109082,116465,0.484,0.516,225547
36,5.0.2,PvT,71351,61387,0.538,0.46199999999999997,132738
37,5.0.2,PvZ,64903,67772,0.489,0.511,132675
