,patch,matchup,wins,losses,win_rate,loss_rate,games
1,3.11,PvZ,7473,8023,0.482,0.518,15496
2,3.11,TvZ,10701,11457,0.483,0.517,22158
4,3.12,PvZ,16815,17684,0.487,0.513,34499
5,3.12,TvZ,23093,24280,0.487,0.513,47373
7,3.14,PvZ,51471,51044,0.502,0.498,102515
8,3.14,TvZ,67832,71081,0.488,0.512,138913
10,3.8,PvZ,19577,20015,0.494,0.506,39592
11,3.8,TvZ,29265,30531,0.489,0.511,59796
13,4.0,PvZ,13336,15858,0.457,0.5429999999999999,29194
14,4.0,TvZ,14343,14797,0.492,0.508,29140
16,4.1.1,PvZ,27739,31830,0.466,0.534,59569
17,4.1.1,TvZ,31638,31289,0.503,0.497,62927
19,4.1.4,PvZ,16871,19130,0.469,0.531,36001
20,4.1.4,TvZ,19999,19558,0.506,0.494,39557
22,4.10.1,PvZ,115612,125234,0.48,0.52,240846
23,4.10.1,TvZ,142009,133246,0.516,0.484,275255
25,4.11.4,PvZ,156008,170730,0.477,0.523,326738
26,4.11.4,TvZ,179497,169936,0.514,0.486,349433
28,4.2.1,PvZ,36622,39198,0.483,0.517,75820
29,4.2.1,TvZ,42598,43115,0.497,0.503,85713
31,4.3,PvZ,176629,184038,0.49,0.51,360667
32,4.3,TvZ,198031,196358,0.502,0.498,394389
34,4.8.3,PvZ,109082,116465,0.484,0.516,225547
35,4.8.3,TvZ,126438,120879,0.511,0.489,247317
37,5.0.2,PvZ,64903,67772,0.489,0.511,132675
38,5.0.2,TvZ,70658,65997,0.517,0.483,136655
