,map_name,pillar_label,wins,losses,games,win_perc
0,16-Bit LE,Pillar can see natural entrance,25333,23255,48588,0.5213838807936116
1,Abiogenesis LE,Pillar can see natural entrance,25911,27497,53408,0.4851520371479928
2,Abyssal Reef LE,No pillar,65778,67311,133089,0.4942406960755585
3,Acid Plant LE,Pillar can see natural entrance,88823,86559,175382,0.5064544822159629
4,Acolyte LE,Pillar can see natural entrance,16093,14478,30571,0.526413921690491
5,Acropolis LE,Pillar can see natural entrance,66743,63557,130300,0.5122256331542594
6,Ascension to Aiur LE,Pillar can see natural entrance,57632,59415,117047,0.4923834015395525
7,Automaton LE,Pillar can see natural entrance,47186,44112,91298,0.5168349799557493
8,Backwater LE,Pillar cannot see natural entrance,31156,30739,61895,0.5033686081266662
9,Battle on the Boardwalk LE,No pillar,9382,10469,19851,0.47262102664853156
10,Bel'Shir Vestige LE (Void),Pillar can see natural entrance,17296,17999,35295,0.4900410823062757
11,Blackpink LE,Pillar can see natural entrance,57208,55419,112627,0.507942145311515
12,Blood Boil LE,No pillar,7083,6727,13810,0.5128892107168719
13,Blueshift LE,Pillar can see natural entrance,52611,50895,103506,0.5082893745290128
14,Cactus Valley LE (Void),Pillar can see natural entrance,13583,14687,28270,0.48047400070746377
15,Catallena LE (Void),Pillar can see natural entrance,9628,9864,19492,0.4939462343525549
16,Catalyst LE,Pillar can see natural entrance,91444,88249,179693,0.5088901626663254
17,Cerulean Fall LE,Pillar can see natural entrance,45772,44451,90223,0.5073207496979706
18,Cyber Forest LE,Pillar can see natural entrance,62296,62042,124338,0.5010214093840982
19,Darkness Sanctuary LE,Pillar can see natural entrance,10875,10990,21865,0.49737022638920647
20,Daybreak LE (Void),Pillar cannot see natural entrance,3374,3662,7036,0.4795338260375213
21,Deathaura LE,Pillar cannot see natural entrance,62985,57932,120917,0.5208944978787102
22,Defender's Landing LE,Pillar can see natural entrance,8006,9235,17241,0.4643582158807494
23,Disco Bloodbath LE,No pillar,27001,24758,51759,0.521667729283796
24,Dreamcatcher LE,No pillar,40013,40154,80167,0.4991205857771901
25,Eastwatch LE,Pillar can see natural entrance,23869,24162,48031,0.496949886531615
26,Echo LE (Void),No pillar,3859,3877,7736,0.4988366080661841
27,Ephemeron LE,Pillar can see natural entrance,70943,67143,138086,0.5137595411555118
28,Eternal Empire LE,Pillar can see natural entrance,136025,126537,262562,0.5180681134360646
29,Ever Dream LE,Pillar can see natural entrance,113065,106895,219960,0.5140252773231496
30,Fracture LE,Pillar cannot see natural entrance,23946,23667,47613,0.502929872093756
31,Golden Wall LE,Pillar can see natural entrance,44097,43452,87549,0.5036836514409074
32,Habitation Station LE (Void),No pillar,3219,3335,6554,0.4911504424778761
33,Honorgrounds LE,No pillar,10196,10484,20680,0.493036750483559
34,Ice and Chrome LE,Pillar can see natural entrance,53028,50414,103442,0.512635099862725
35,Interloper LE,Pillar can see natural entrance,17329,17135,34464,0.502814531104921
36,Jagannatha LE,Pillar can see natural entrance,8071,8090,16161,0.499412165088794
37,Kairos Junction LE,Pillar can see natural entrance,91646,87625,179271,0.5112148646462618
38,King's Cove LE,Pillar can see natural entrance,58530,55630,114160,0.5127014716187807
39,Lightshade LE,Pillar can see natural entrance,9441,8983,18424,0.5124294398610508
40,Lost and Found LE,Pillar can see natural entrance,57816,58708,116524,0.4961724623253579
41,Mech Depot LE,No pillar,16162,16577,32739,0.4936619933412749
42,Neon Violet Square LE,No pillar,35341,34733,70074,0.5043382709706882
43,New Repugnancy LE,Pillar can see natural entrance,65888,63772,129660,0.5081598025605429
44,Newkirk Precinct TE (Void),No pillar,23184,22813,45997,0.5040328717090246
45,Nightshade LE,Pillar can see natural entrance,83834,78424,162258,0.5166709807836902
46,Odyssey LE,Pillar can see natural entrance,55728,56463,112191,0.49672433617669864
47,Overgrowth LE (Void),Pillar can see natural entrance,4227,4629,8856,0.4773035230352303
48,Oxide LE,Pillar can see natural entrance,8450,8003,16453,0.5135841487874552
49,Paladino Terminal LE,Pillar can see natural entrance,12218,13833,26051,0.46900310928563205
50,Para Site LE,Pillar can see natural entrance,40986,39983,80969,0.50619372846398
51,Pillars of Gold LE,Pillar can see natural entrance,55376,54266,109642,0.5050619288228964
52,Port Aleksander LE,No pillar,58658,55774,114432,0.512601370246085
53,Proxima Station LE,Pillar can see natural entrance,25973,23982,49955,0.5199279351416275
54,Purity and Industry LE,Pillar can see natural entrance,26099,24828,50927,0.5124786459049228
55,Redshift LE,Pillar can see natural entrance,12230,12402,24632,0.4965086066904839
56,Romanticide LE,Pillar can see natural entrance,8739,7941,16680,0.5239208633093525
57,Sequencer LE,Pillar can see natural entrance,8409,8561,16970,0.4955215085444903
58,Simulacrum LE,Pillar can see natural entrance,89119,86836,175955,0.5064874541786252
59,Stasis LE,Pillar cannot see natural entrance,9640,9418,19058,0.5058243257424704
60,Submarine LE,Pillar can see natural entrance,55148,54282,109430,0.5039568674038198
61,Thunderbird LE,Pillar cannot see natural entrance,50075,44630,94705,0.528747162240642
62,Triton LE,Pillar can see natural entrance,67354,63880,131234,0.5132358992334304
63,Turbo Cruise '84 LE,Pillar can see natural entrance,16324,15919,32243,0.5062804329621934
64,Vaani Research Station (Void),No pillar,3520,3179,6699,0.5254515599343186
65,Whirlwind LE (Void),Pillar can see natural entrance,1967,2063,4030,0.4880893300248139
66,Winter's Gate LE,Pillar can see natural entrance,21275,20994,42269,0.5033239489933521
67,World of Sleepers LE,Pillar can see natural entrance,57742,56984,114726,0.5033035231769608
68,Year Zero LE,Pillar can see natural entrance,25510,24079,49589,0.514428603117627
69,Zen LE,Pillar can see natural entrance,50149,52085,102234,0.4905315257155154
